Site,Aberdare,Ai.Ais,Akagera,Amboseli,Arawale,Arly.Partial,Arly.Total,Arusha,Bahr.Salamat,Bale,Bangweulu,Banhine,Bicuar,Binder.Lere,Bontioli,Boumba.Bek,Budongo,Buffalo,Bururi.Forest,Cameia,Cangandala,Chobe,Cliff.of.Bandiagara,Comoe,Daan.Viljoen,Deux.Bales,Etosha,Gambella,Gile,Gishwati,Gombe,Gonarezhou,Gorongosa,Hells.Gate,Hwange,Iona,Kabore.Tambi,Kafue,Kafue.Flats,Kakamega,Kasungu,Kgalagadi.Transfrontier,Khaudum,Kibale,Kibira,Kidepo.Valley,Kilimanjaro,Kizigo,Kourtiagou,Kruger,Lac.Tele,Lake.Manyara,Lake.Mweru,Lake.Nakuru,Lake.Rukwa,Lefini,Lengwe,Liwonde,Lolldaiga,Luando,Luengue.Luiana,Madjoari,Mago,Mahale.Mountains,Mahango,Majete,Mana.Pools,Manda,Manovo.Gounda.Saint.Floris,Mare.aux.Hippopotames,Marsabit,Masai.Mara,Matobo,Matusadona,Mavinga,Meru,Mikumi,Mocamedes,Mont.Fouari,Mount.Assirik,Mount.Elgon,Mount.Kenya,Mudumu,Mupa,Murchison.Falls,Mushandike,Mwabvi,Mweru.Wantipa,Nairobi,Namib.Naukluft,Ngorongoro,Ngotto.Forest,Niassa,Nkasa.Rupara,Nkhotakota,Nouabale.Ndoki,Nyanga.Nord,Nyika,Nyungwe,Odzala.Kokoua,Okavango.Delta,Omo,Pama,Parc.W.Niger,Quiçãma,Ruaha,Rusizi,Ruvubu,Rwenzori.Mountains,Salonga,Samburu,Selous,Serengeti,Simien.Mountains,Singou,Siniaka.Minia,Tamou,Tarangire,Tsavo,Tsoulou,Volcans,Vwaza.Marsh,W,Waterberg.Plateau,West.Lunga,Zakouma,Zinave
Mahango,12002.3242554983,27278.2481745732,31966.8582116531,25272.4257058066,42989.8977830794,17039.2316502155,19391.8128136793,14762.0357974622,19413.4591166679,22676.0740469641,19637.9814288027,23414.8722782613,14997.2667340553,10665.5847449696,19773.1994887169,46413.6582642825,36746.9235846858,20662.9811958795,32966.7631680124,18218.0691218251,12862.3454140235,18139.6716632673,35958.9342074035,37132.4865619654,23707.1495514945,17979.8126539602,32042.9982623872,22840.0107380233,13765.9779962705,40045.7148193001,24596.7399893087,15286.7292507314,10024.1114447486,17257.4534593442,19800.2833497126,39130.8922565046,21467.5993650681,14418.4084664549,30089.9907193817,31034.1834673506,16243.2949085107,74740.7830401768,33646.294814601,36411.2306878415,33350.0891964632,11604.2378103598,22040.7318233969,16869.5932457956,15614.2510239649,16316.0585465127,46311.1377647714,11391.7721180985,28638.2382014636,12394.8845574046,20758.1814402535,33546.8921846654,20885.9718377549,28625.8944130092,20108.8950313688,7972.41659665618,4136.84183967714,15614.2510239649,21316.0413187998,27782.0651191847,0,24344.0526424687,13575.500873419,14658.1854316715,7381.89842837735,25326.9843636525,34720.8912755775,20579.1775038443,11160.5470457037,6066.06208970656,10131.8370878747,13282.1365436543,16322.0482946237,47020.7091933242,38823.8147765808,14394.1172303271,28122.4526998443,21654.9875516379,13733.429732838,14741.6857725109,27450.1429043166,19239.6547541134,17304.7376148668,18099.0272268833,16336.2761761062,51571.0751508927,15548.5478977359,48243.1210918678,5279.54204786348,11493.8825008461,10969.9840465953,46333.6409297613,39132.03480662,13723.1611796239,36822.7505280906,39506.2477151603,13386.8894284488,22063.4375429333,24973.2944290656,20844.9783354053,16052.8940962795,9226.95267545007,34296.437861392,24333.2648593748,33064.0661205657,44648.066523327,19389.2199478336,18877.6138754642,12005.0165982069,27262.6188694349,24869.634185142,37448.1510534411,26870.2698500574,13549.5585712222,17796.4078586572,32422.5284076019,42107.166247828,13552.7114084528,20629.5410859021,23552.1136424025,5915.59884034918,22741.1232239233,16125.1883053238
Majete,23116.5608830726,44593.6614175268,15889.0619639127,45165.72457528,52144.441652969,37918.3367019572,40327.7569575188,19005.068187133,39745.20343346,26090.3620568425,8722.69522037386,42857.8720980332,34389.2666474275,28075.5186911126,33429.3789094926,27168.1990423398,19767.3628050224,38751.8000912615,15691.319162647,10359.9396353365,19703.7499483925,37417.934197952,56324.5423619391,19145.7314813973,43598.3891179027,22069.9903386904,52926.3234523649,44289.9270241127,13919.3460974838,20069.8934579331,10412.3541061123,33990.980991755,21586.3214388199,19108.8718733985,40267.6002147629,60766.0935735509,42168.0341671197,16203.5255153577,8815.44204755792,14762.6711789201,14440.5873356852,95687.333032229,55079.0362442157,17480.2597752765,16676.3121283567,32173.0819821446,12386.1138541852,36279.5030167375,36243.2880854089,35430.1371600547,27092.3183701911,26950.0266505699,10068.197456935,32801.2292183044,10518.726636255,18262.9603916642,3700.59255889442,6281.96190775527,38885.2935842067,21283.1802344737,21826.0869971527,36243.2880854089,40083.6946974713,12942.4193106494,24344.0526424687,0,17903.9944726345,33862.3889564639,22532.3906936039,18595.0187774147,56036.4916260884,19944.9583160368,26777.7574166372,22002.6453957512,31264.8345061093,31992.195735004,34923.316871218,68528.0125081559,24664.453620329,21116.7502643001,14238.4180538328,12529.95811512,33291.5457300942,29138.5552668681,14544.0987074446,14694.0681395493,9748.2863668229,11562.0716321693,35023.5752504034,72199.6789167563,34929.9255406615,26637.3665005344,23640.7416524215,23949.9918416988,18140.6098142749,27017.998289923,24387.1790174881,15696.232545556,17100.0971178149,21346.9623977187,32406.525786038,41476.5187441504,46182.2011663794,41783.6072060192,37278.6914096092,26359.092439384,17228.0703145287,12755.0456095426,15469.6559004945,25308.6902283162,39444.3061074403,12562.9471903579,30537.3907950396,47117.8334806075,46421.4374289219,58100.4955434164,48472.7076507393,32791.8189601863,37115.9575402303,18341.1119252338,21530.0121445358,16413.8893913691,40991.8159652988,45105.7731638616,21648.0865224871,43763.6091965255,35501.2621625734
Mana Pools,9168.47272480702,32912.7659553666,22739.2120883682,33508.6791670158,47638.4824413263,26495.390320526,28934.3323158144,5302.88923202198,27948.295201304,17600.2736971117,9739.86753088283,30116.9532615681,20813.9831183446,17443.6349025395,24722.3938434891,40563.5006118923,29190.2817182213,29390.8631994945,29424.7753131852,9972.93097024935,12769.2106388801,22886.1918031227,45334.1769005487,27460.3926460321,32004.5755679348,17295.8580706769,41614.9405441794,33519.6778238625,9695.20869159164,30428.4683414719,17983.853681966,19353.8896259121,11671.5646937643,10440.4338809246,24901.3908958153,49399.9294070113,29924.2772968906,2316.27099863499,21760.5077323048,24542.8975158942,5500.02489113777,83188.8874449891,43647.228324361,27721.6871874555,29657.5678533945,20376.1092005085,16748.9396976944,22296.9770973177,24810.3357358288,21595.4847786159,40285.528828684,12784.2163137721,22709.3789753891,18806.7034645702,10598.4975940827,28687.5057254445,15476.1533189292,18139.778168635,24708.806384757,9645.0406910097,10391.0805874395,24810.3357358288,27085.7364383622,18226.1605143001,13575.500873419,17903.9944726345,0,23486.036761858,12552.1509553534,22619.5886783764,44912.8453023306,15490.2125687569,15644.4423939555,10098.6607578381,20392.7183429409,16858.4499857253,22318.9332034895,56130.5282598444,34980.9731319761,15825.3673903554,19705.2130175623,11865.5260447277,19902.7316529526,23201.5023674137,20189.4708417128,14362.7677112442,8320.82932167134,7663.81098743067,21712.621845184,59825.3563910228,20903.3961850038,41264.7849778235,12492.7524087506,18007.6097323302,4882.7580530715,40584.5709135877,34614.7050149779,8635.83804117603,28268.106776054,30823.5706651147,19063.7817301245,28676.8703784096,35043.1521890977,30175.7263951112,25374.3824704536,12916.1659789004,28151.1132295019,18679.808130312,24777.824315116,37766.053220755,24601.2217514128,9771.71772941533,16846.532234677,33748.769235628,34864.3558908868,45956.5440264416,36906.0086008359,19069.9434872203,22317.3590970923,28149.3349579786,32898.0242945196,2436.13082926361,29727.5066942401,33292.5333212936,9928.55850769958,32735.2926341138,23554.426478934
Manda,20753.8585343736,20498.4855157637,39638.1327955581,21664.1150617282,37258.6171383105,7209.50070043844,10119.5330946658,21473.5342815676,13807.7792665522,26233.7126101245,30466.0064867311,19236.5747654482,12322.8347376965,11073.7666049391,14715.2113087792,57232.0830938281,46519.1955517936,14941.1044307237,42370.1730772353,27868.0074155691,20820.8594155091,16401.9551499851,28945.3413991776,47486.813388222,16934.4323572529,21346.5299818751,26546.5038966051,16511.1344666674,25145.8947419761,50298.4327160494,34225.450366942,12824.7976006285,19702.0107153077,24300.9287571007,16079.3122762723,30914.1965799292,12439.7620515424,25119.36470679,40160.3558984922,35410.356058531,25516.4742998236,64836.3688368793,24596.3367283957,46201.2338423551,42589.0013355972,9281.51413653357,28799.2722935959,15003.4055580757,5420.89537037164,13348.2315369118,55375.1895052094,14537.6639346429,38176.0537993172,13245.77280948,30535.2647642058,39702.0949971945,31925.752340553,38847.8829211622,17756.8812137591,18614.7137174218,18087.7769308754,5420.89537037164,17770.7291073603,38338.1876543212,14658.1854316715,33862.3889564639,23486.036761858,0,13636.0082601341,30671.267299383,26838.807472324,26804.0516131613,10733.2834298046,17825.6467205283,9437.05531889699,12229.0737852692,14319.2647854461,38106.3917838245,43082.2156790126,21072.1690310954,36936.1594843336,30272.197091052,11223.5151822777,14989.5131592594,36060.152294502,26439.751612678,27955.2272668036,27758.195658305,12095.3807191902,43917.2028486387,14754.9947731754,59673.9475120541,15785.7040611073,14399.9745982935,20302.9650861799,56636.5241323828,48042.2298497798,25062.300083951,46651.8749619707,50366.1853902056,13133.6213677712,16970.5637485036,16489.5237037041,13615.8752285877,8334.74051831432,15755.1813715391,40841.9813911057,31017.5469179897,41375.372591332,50920.8018443729,15191.4554904752,28429.0057478824,14222.036305114,19013.6715395406,16243.5940123461,26852.2032716045,18707.7946913589,13491.8958994939,15025.0097425356,37272.2115231864,52425.6524074072,22616.4821836351,13632.1519127315,15248.5857407415,18188.7832058336,16155.8437816291,13241.6493918982
Manovo Gounda Saint Floris,12587.180372164,28453.0230744455,30008.7399896917,26781.0279234853,44151.3181063982,18235.4070579538,20666.7877084043,13659.1045581378,21636.4083931902,19930.6340863023,18659.3935557648,24319.7969124053,17432.1121988715,10348.2564607813,20357.9963231972,46103.8922003316,35887.3115146426,22506.1960622207,32024.9470046819,16932.5885221056,13571.2645481974,20265.3192780329,37436.4509947693,35219.9842995502,25222.1076965782,17216.011008632,34719.8030573851,25047.7746056719,13355.3834045211,37976.8132536296,23373.4926283209,16352.141397758,11408.3300425429,16423.4833114288,21726.6934497901,41408.6098800726,23342.2687502645,12866.0158009475,28325.7308111149,29614.3335218302,15148.0407222996,75616.5868625495,35434.1113553217,35345.8244255675,32252.7064595511,12914.3225108366,22438.9470024122,19184.9506498201,17374.362217388,18408.3578409961,45968.5182873408,14122.6661756774,28055.119348578,15887.1990355495,19338.0555355648,32972.0173229348,20575.0686663563,26855.5842578027,20305.257877571,7780.65566800719,6394.1735641389,17374.362217388,21953.2014706512,27250.3230586215,7381.89842837735,22532.3906936039,12552.1509553534,13636.0082601341,0,23821.6365189991,36506.997548013,19052.3347483459,12056.7934318264,6571.5017058262,13121.6104031858,14773.4793466516,18554.5420378201,48375.8380453745,38593.4971221476,13805.7433941706,26415.4637109739,20642.3926026718,16406.8502556072,17713.4801835643,26324.5032672925,19870.4422362024,16445.8321170355,16347.8631226158,17590.9059385862,52404.171073132,17855.9563629583,46324.1839770971,6222.05473587882,13116.2263409276,11821.8807151808,45827.2991137674,38971.5457331092,14078.5846561291,35331.6001044114,38259.0142407241,15107.2164825956,23155.3089471851,26347.2973600299,23494.2664385896,18956.0322983509,11366.2001666769,32869.4506518993,25189.3812418319,31496.1809475373,43376.9419976149,19732.1949029822,17620.074884946,13511.7281544742,27134.5951318179,27069.6594625311,39088.4408153107,28895.3028048303,15337.5750857383,19295.8295009119,32552.7364697546,40844.1370450295,12805.1127585871,22931.2955033823,26791.3234614715,6570.78025987893,26039.4012520445,16762.1106416801
Mare aux Hippopotames,26225.2663378299,35648.0283612652,24074.4984336707,45321.9197959548,41022.9265769674,32163.5231768448,34331.5271854078,24966.593802091,38519.9642005944,20688.1588844148,19944.5287403442,41446.3243004378,35449.9756089485,26126.2193055564,23249.9608586836,38946.3858771594,28994.3116290053,35663.6977137236,26045.7767164866,18948.7852368378,21017.2222704484,38120.3835039465,48613.5009002059,28230.5262060643,36388.7781905869,14728.3816868877,51610.1109664355,41825.5504401236,18824.8491697525,31905.672175926,19903.6768261325,34256.7328611487,25808.6502973576,20278.7534456157,39161.301539597,55854.6074355967,35342.1876650164,22531.2787037039,24269.2505572706,18491.7363408835,22408.5383494077,82841.2136157575,50218.6750771608,27686.4240281956,28301.9790318364,30999.2654389477,18996.7703028562,35880.5309980475,31785.3802006177,35642.1604702068,38148.6334153173,29768.7656385628,22400.7363751159,31860.262754084,18696.5409100233,24493.0938647839,16690.7093171963,21225.498447157,39006.7739945295,25277.9723508247,24087.1227724001,31785.3802006177,40803.3974981105,24531.6783796304,25326.9843636525,18595.0187774147,22619.5886783764,30671.267299383,23821.6365189991,0,52648.758215938,20109.1198457318,31819.768415922,25184.82005879,29199.7520159887,30679.1161425879,37115.5848352083,54840.2105042208,31131.2193672838,21704.6871624014,20372.8848594414,20441.2786116955,33756.3834352874,29139.9708746917,20129.0658642738,19603.2800131274,18533.8201731826,20748.6175693662,33955.6750784396,63996.2625976319,33664.4752048183,40663.4063052125,25395.9894326651,26035.5470163969,24244.6544844994,38693.923938103,32898.2301855646,19449.3940586412,30231.1748256014,31973.3077239578,33999.0880644901,41007.0305980906,40605.7228240744,40180.1795669368,31517.3648639182,28864.6096706304,25424.3256748986,17693.9889219583,24177.4137033884,33371.8386909593,38004.9069163161,21071.7206822012,29731.8809369486,38754.3790768457,40790.2412191366,49451.5357021617,43501.5121759258,31308.4426849715,36482.8371622237,23735.9009476076,31635.1135549385,23612.7340493236,38400.4955540331,40928.5777623466,24041.12240349,40259.5920824411,36000.6682436746
Marsabit,39994.4688850859,27763.4513754314,59928.9071179542,13913.7184670709,28529.1896449663,24095.7123500393,23102.7971729334,42549.2358420848,21882.0982672992,43036.6565817339,51787.3331012068,16633.9706339806,25442.8573461678,35353.6743842327,34071.762268425,79571.9424988196,68253.3476336195,22198.9049392929,62664.6088830893,49005.6003592224,39321.6184939223,22552.0747930104,24275.7386924834,69972.8149821101,20625.4635552456,44528.4109540197,8616.01354235331,15026.0421354443,44467.965756088,71881.5463890038,51563.1146379122,28852.6428517869,39840.225375267,44585.726423165,21248.1185667399,11520.5880276409,22384.8471322705,46096.1774087756,62808.7454674943,59116.9970032346,47015.8581321995,42084.2024574235,8638.71970835192,69146.9497444853,62438.7153276286,25869.7635152838,49083.9751011586,26503.6507634423,25542.8223630328,26859.4042650702,78152.2610010041,36080.0145638545,59750.0348986535,29450.6647523251,52860.2399174357,65186.8416089112,52815.3139601385,61443.8977532376,21235.0552664652,37461.3916208042,37508.9252152785,25542.8223630328,20139.1234149263,58709.4091355447,34720.8912755775,56036.4916260884,44912.8453023306,26838.807472324,36506.997548013,52648.758215938,0,47169.7214655368,31066.0244031945,36006.6919056587,28304.6320601221,32647.8979922517,24153.7396711872,18161.2541045402,68326.1971746337,41336.521935509,59179.5772457514,51183.4313347349,26310.1264053115,28327.9465775787,57328.5163795058,48244.698052224,48799.0791446565,49418.1930846954,29199.4824060485,23197.5192931767,28814.3390674291,82295.2327209896,35296.7656104825,33924.5101317127,41132.0221311487,78441.0660662218,70133.7079862561,43472.7708234348,69018.7672031189,73240.7410665484,27546.8050159028,18598.2337409524,16020.1531502569,21385.5100020722,25868.4268734027,36834.8775097738,61485.7137902102,53022.9555133276,64284.0802873806,76332.2875495647,21714.9823627691,51024.4175290063,33763.5817576015,30693.4607710288,16138.5469240444,14129.2083102521,16681.1809514303,31849.887830988,24817.0880021895,58986.5206043273,75327.9671365272,43551.2124408834,20318.4466368182,18097.3349853713,37665.281520522,19468.2179183058,23641.9278295378
Masai Mara,15293.1627349322,36997.1252847764,17996.4726418265,37224.9574584917,46031.7003068234,30580.1243708718,30787.570662125,15385.7186077602,31968.768605294,21016.2893846014,14464.1494776429,33870.0574742763,26409.8380942468,21923.4226140584,27327.7764248187,41145.7269333329,29499.1755916912,32782.9907009854,29111.0041330258,15647.5071121327,19982.2578800818,29765.7822439951,48942.5194387484,27172.6602762952,34522.574212443,18843.5985885593,44232.6618277828,35990.4325978085,16477.5980914641,31809.4599144571,17710.5697654275,23665.2139792052,19988.6998187613,14842.7209512458,29800.3453673334,51293.7945401548,33523.260663999,14435.556247117,25391.1186334434,26073.3269874224,14597.2975469499,83118.4894752025,45374.9018533473,25179.4878889055,30212.0541618614,26994.4938008869,15900.767102797,26277.0856007986,29050.2127392247,25373.8234556904,40302.8224248198,20246.9943967329,23908.5168018888,23186.729022879,13608.3621496342,27273.6024460953,19240.076797386,20229.7290601213,30849.9444073864,19566.3553046431,18058.7942882554,29050.2127392247,31864.3854245955,17665.8622952719,20579.1775038443,19944.9583160368,15490.2125687569,26804.0516131613,19052.3347483459,20109.1198457318,47169.7214655368,0,23329.695150736,19055.8207041607,25388.5813815488,21112.5577880468,28113.8106332611,56598.6776641261,33731.3949819512,19164.9284908368,21224.3925794124,14411.818505885,25771.3555542381,26897.2626788925,18808.0490409998,17477.0815892293,16227.3074399205,14073.2938269055,24166.4456266939,62128.5662404661,24536.4253103444,42139.3896495261,19197.4773252319,23521.3836025036,15643.1483864878,40805.5317391367,34304.4704303393,18776.9023784306,29760.5975546468,32552.4143033493,26651.8939089993,33486.3587215018,37543.0347366407,33118.9169437539,29667.6168314548,17214.7099990966,27327.303112388,22080.4775944694,22069.504010664,38095.487845101,30218.1435261551,11767.4012770442,18640.2045065679,39192.2778958683,37904.6955011968,48145.0840938584,39523.94571511,21541.0663927339,27398.8230242761,25401.6088282355,30874.0594548268,15250.61511637,34290.232728296,35930.653934919,18572.1629632758,34886.1131636233,28563.1547209434
Matobo,14548.3395854,22231.6022287183,33169.9849860834,20118.1248415346,41988.4645881082,13764.6892509391,15925.8297802066,15683.4438288892,14399.6093250568,27273.3817993444,22547.0639588148,17651.3686303771,9757.90595053728,17998.009224341,17596.183015852,50861.6564496254,39629.9030437228,17771.5200770475,36093.6751136436,19632.2271565914,17886.4015194212,12166.5233640679,31903.6687598073,40327.3675065491,18725.4222892565,22899.6817071137,27968.7536843696,19010.6812600922,19554.3884980774,43753.9028331557,26178.1596529392,9148.12791744025,12331.0864505514,19983.6127014255,14717.3980248246,35745.3063152608,17469.2013717279,17475.4987468356,32571.1015072681,33049.4639597257,17895.7649739272,70781.1613324117,30234.5852988188,40070.4222772431,35509.359573977,7852.99341323616,26484.5969193765,11924.5553055982,11379.1070438064,10826.1043208127,50804.8803341838,9367.3351242924,32371.1119918304,8886.68543274762,24196.3836041635,37692.4687597151,25896.1385622151,31286.4477956858,13257.7207334475,11494.947654658,10637.4245876348,11379.1070438064,15113.0415443399,32083.930887031,11160.5470457037,26777.7574166372,15644.4423939555,10733.2834298046,12056.7934318264,31819.768415922,31066.0244031945,23329.695150736,0,10460.0923519642,10717.0248035776,10477.0459868411,10165.4729386401,43682.0923586973,41994.222386839,19484.6140661378,31809.9325493217,23841.4976526758,8646.97036258461,13297.8284669855,29642.7061657115,22251.9041725577,19818.7070702155,20513.0512519701,11893.0344941169,47151.5743993896,11731.5045408708,51261.9417793997,10568.3432362555,8513.13467129387,13666.022430609,50737.1587064802,43162.1630349488,19418.9714374976,39525.4842362597,42708.0334155587,8198.19101006958,16676.7992655904,21010.9617843006,16537.9577349803,13250.0064218271,10190.4109498177,35845.1416626887,28020.9313741614,35005.3531133898,48827.4430227874,13376.4646008021,21594.090983626,10308.4047455703,22839.4499556907,21119.7017116942,33048.8950117914,23068.0753839739,9364.13143157223,12087.1562044132,35193.5933083733,46002.3875123221,15111.3378239331,16300.3087036116,19822.0352276205,10813.9742049367,19177.3726146317,10500.3352389267
Matusadona,9652.14863046403,28049.5078614305,28605.4894213441,25818.1043893182,43151.8633908772,19445.4323116632,21018.6280081055,11998.9518833984,19669.1780074898,20933.8605214375,17923.9054277065,23057.7343929556,14621.8282699423,10892.2275816714,19938.9096121921,46144.9696406307,36024.8245478856,22014.4532349513,32288.930984695,15054.6570377732,10670.8994458531,19094.7891908729,36819.8871228749,35868.5827433592,24040.2740128835,17330.2440581441,33218.4246497495,24833.7287559746,12253.8873989196,38738.4803166416,21262.6143959489,15117.096170537,10495.7646706809,13788.9706509916,20516.8361964962,40546.3211961371,22701.1721325741,11271.0330909085,28121.9310337605,29969.5586135179,13403.5519127929,75647.3573558726,35042.5645924258,35295.6885140808,31769.3759768583,14402.606832004,19214.0054402583,17421.7386142447,17512.9827808545,16705.1250531885,46003.7676380759,11342.0602265259,27625.2069160172,13339.1390320303,18983.0657458979,33445.3744582174,20561.7909239769,26626.6509390837,20421.2328108368,2679.18763536128,3019.32843835268,17512.9827808545,21025.2249094107,25458.7896715921,6066.06208970656,22002.6453957512,10098.6607578381,17825.6467205283,6571.5017058262,25184.82005879,36006.6919056587,19055.8207041607,10460.0923519642,0,12061.5602920681,13235.7123364197,15733.7737096449,48215.1248649147,38523.5705428764,14287.6710768964,26910.6283193965,18877.0360248004,14600.0957170502,16623.3625679003,26538.732134931,17438.4390189004,14371.3375773889,14813.9065365814,16272.674625819,52343.3780253072,15813.274907778,46502.885976623,4069.86029719764,11874.130962976,7798.43741410337,46361.8948906236,39692.9307834465,11774.1108820221,34814.5821311378,38047.5310503572,14661.9806527818,22196.0010637641,25719.0855195825,21751.5195549672,18735.2293050689,10004.0573260997,31487.049223043,24255.019282903,31402.7031393264,44068.5396645518,20419.8259338221,17170.5129972993,12499.3743479168,27491.0677876036,26114.1785962895,38782.3300880351,28460.854643518,13866.5569175952,18159.5652450195,31488.4914222915,40719.7909368775,10874.9466204502,21410.9083749164,25379.423625341,4262.45213302488,24632.6370088528,16303.5951798037
Mavinga,18536.9775718319,22754.7055765377,36807.3724327622,21923.5424309364,37865.2450451282,10779.9154126396,12536.8544753728,20381.0113864686,14792.9862283434,22550.7193718672,26737.9167922166,18035.6237074796,11428.4430558849,12781.1056421819,15234.2471356058,54294.528712871,44094.9455510804,13526.2070318395,39362.4841586426,24269.3882299242,16564.3574490883,16335.176480673,30157.5856200096,45268.1114000478,18478.4127051745,21146.58506939,26694.9743495282,18118.6593488156,20013.6363595447,47338.875883759,29830.2848953984,12920.6278336339,15171.3124831559,22383.1301511934,15712.677885912,30666.6505583227,14787.4831442236,21578.4638260783,37745.4923620394,34652.7933160663,22699.7574651163,67022.1727240202,24839.1149109979,43800.3222319385,39566.1425354567,9232.91368922424,24979.3346967187,13829.5938077451,7462.83635226736,13599.4415599494,52276.3574531151,12456.3873006974,34936.3058155958,10808.6095920464,27874.821242211,38867.6562086516,28720.6253561423,36099.071096153,17933.8961533404,14431.909549242,12238.0866622056,7462.83635226736,18373.0766435994,34185.0997158099,10131.8370878747,31264.8345061093,20392.7183429409,9437.05531889699,13121.6104031858,29199.7520159887,28304.6320601221,25388.5813815488,10717.0248035776,12061.5602920681,0,11386.2784991774,13765.6648749706,40282.3369189902,42895.7496632179,18958.9627093712,35049.9470379783,27700.3978994677,11002.8833333616,12024.2891267094,33936.0144129063,23245.572619587,24421.6610285293,24912.3602930178,12976.7148372314,45146.4090752923,13804.2826268861,56922.176612742,11818.9220288421,11974.9485310379,18253.5024810719,53223.0563757958,45326.6931251835,20093.5587527094,44315.2141576479,47828.6489910329,12212.8176889693,19060.3903574086,16917.5293795576,14282.7093508126,8994.77370725158,12143.6457480382,37348.7057939387,29065.2925800733,39115.4592179951,50199.8643081243,17111.0631638652,25628.7258676213,10854.7198407411,21359.7974928081,16807.5274213502,29999.0024852869,19802.9492277653,12325.940298903,15296.2337033725,36621.0387693268,49719.5710921591,19588.9261976309,14263.434115203,16861.295388003,13914.6806130666,18057.4306714438,12674.9785053687
Meru,14233.6125365468,22516.4906039691,33602.6781973682,23471.4201731663,40448.7745935406,15140.2250009118,17018.9240879819,17383.9615866211,17626.3270190092,26242.0592360695,24293.4661729259,19238.2207784993,11596.7259037386,17426.3462463531,17358.606261139,55497.8970917453,42070.7487216507,19597.9434824828,40466.7855783253,23535.7029937363,20962.5091326331,15037.1019869259,32936.1138860375,40740.5356646419,20357.238550396,21885.6541666016,30401.22007998,22281.7276199541,22365.7653615415,44433.6914561023,29482.2515232757,8635.59003686196,13311.3475024257,20566.8761836128,15081.5315567841,36536.0419556264,18666.557367244,17945.8193060812,37048.6588598599,34772.7368634515,18406.6166098094,68672.0182922322,30789.3634252845,38340.7721596326,40893.5403011346,9450.08616832794,28378.9808305758,10917.1488857289,13849.9164961846,10377.4187028275,54421.2663539861,7625.68877375122,36403.0745926866,6090.54118785395,25672.1780278058,40922.0369987038,29902.6122934934,33565.704200701,16428.9522830883,14942.5551027385,13442.1063442741,13849.9164961846,17407.9096708984,30849.1298797529,13282.1365436543,31992.195735004,16858.4499857253,12229.0737852692,14773.4793466516,30679.1161425879,32647.8979922517,21112.5577880468,10477.0459868411,13235.7123364197,11386.2784991774,0,13198.7365682633,41634.4425861713,44926.9306436561,21321.3769132393,31313.2807652733,24581.2929189055,10546.2993058505,16308.200059085,31556.7947245249,26484.40508029,23442.9708467527,22732.5339944834,8909.82147670469,47689.9446326501,7730.00105733995,56054.1134063427,11920.4690278136,12604.6587213219,15462.6223574097,54967.6626764447,47176.6876953056,21071.0791652597,42330.0140320527,45593.734247152,11570.361998108,19012.7869253502,22848.7717712206,18396.3849092073,14466.9547916232,8171.25120259679,41371.2073750266,30675.2477284076,33267.7477740706,51327.1780212461,16068.2975355658,20386.90110961,4468.83525753487,23214.2074041072,23120.7518547696,33075.1711440608,24523.8321726304,5113.69876027826,11452.8814895062,37167.3085813355,44508.1769937411,17082.9895735264,18085.9335924308,20995.1791432716,13705.2088437958,21326.8599876269,13935.7335506208
Mikumi,19107.3441992519,19314.4189976348,39752.4960326891,15368.1568179867,36396.6653778707,12127.4949159668,12230.7139760057,21195.8726858853,12401.6373690128,31086.3320858113,29460.2786710858,10162.4996811223,3642.51500976999,21132.5828088774,20954.5394267209,60255.7963541662,46190.4737674884,12131.3147107545,43202.8670417309,26892.5623258386,22584.4727359689,7940.31966537023,25669.3165493956,47807.9317798361,14325.2356675172,28657.5074303181,21798.6014827804,15146.0450543364,26765.3647832485,49508.1036401644,31527.4783825952,7141.75301708476,17502.8256354674,23586.0894879991,7253.81845358719,28164.860699133,13013.0136281107,23710.6286217404,40649.0901988238,41190.5358077695,24918.6244760026,62212.3343258257,22143.4497229309,47175.8480197313,44180.5450332703,10021.7264033752,31456.1203585594,5121.0109500981,12399.6622315913,4959.63291091963,60018.8668199043,14673.5626685725,41491.5082506851,9895.97107716677,30288.9189829486,46990.6148420368,33423.9784614208,38487.1550489958,10030.2470622952,16561.4936699086,17254.1643434243,12399.6622315913,11269.1493091999,36663.1636826815,16322.0482946237,34923.316871218,22318.9332034895,14319.2647854461,18554.5420378201,37115.5848352083,24153.7396711872,28113.8106332611,10165.4729386401,15733.7737096449,13765.6648749706,13198.7365682633,0,35304.3574766153,50249.9071812009,25780.0033322874,37512.3210472566,29922.1629403302,5331.04450952554,11228.332331207,35855.964622562,30352.5088241318,27422.9243177593,26680.7207695569,8681.01076141915,37993.3113839281,8868.95115111624,60539.2531357811,15572.808615292,13610.5712280006,18761.77406603,60135.4497702774,52649.6410989778,26145.733290561,45905.2889030609,50055.757399501,5678.15942263083,11641.7378209683,15147.471110402,11250.6178739717,12184.3564862152,15332.2293154633,44276.7679888535,36530.4103776933,42634.3509715132,57666.2892908358,9716.00898867939,28834.8909987805,12925.8218643707,20696.4874255711,15003.9794876697,26130.0816050163,16905.6391035996,11406.6112913919,6916.51024777343,42360.0418629997,53673.2182295641,21355.2808031346,10721.7206469957,12209.3916558804,18180.2767219353,15166.6408037641,5256.89338092822
