"Code","Region","Remove","Community","Full_Name","Country","Long","Lat","BioregionName","SubRealm","num_nodes","EVI_mean","bin.AG.class","EVI_std","Frag_std"
"KGA","Southern Drylands",0,"Kgalagadi Transfrontier","Kgalagadi Transfrontier National Park","South Africa",20.78,-25.56,"Greater Karoo & Kalahari Drylands","SouthernAfroTropics",34,1341.81062355658,99.8122653316646,22.9919266340993,0
"KHA","Subequatorial Savannas & Woodlands",0,"Khaudum","Khaudum National Park","Namibia",20.78,-18.81,"Greater African Subequatorial Savannas & Mixed Woodlands","SubEquatorialAfrotropics",47,2443.55889145497,99.818104001712,86.9328015864189,0
"KIBA","Victoria Basin & Albertine Rift Forests",0,"Kibale","Kibale National Park","Uganda",30.38,0.42,"Victoria Basin & Albertine Rift Forests","EquatorialAfrotropics",73,4922.76212471132,99.6237273129703,55.8919520641579,0.0115338653605748
"KIBI","Victoria Basin & Albertine Rift Forests",0,"Kibira","Kibira National Park","Burundi",29.5,-3,"Victoria Basin & Albertine Rift Forests","EquatorialAfrotropics",57,3689.57505773672,94.5574565539539,122.921006713228,0.78752426926946
"KID","Lake Turkana",0,"Kidepo Valley","Kidepo Valley National Park","Uganda",33.8,3.86,"Lake Turkana-Sudd Grasslands, Bushlands & Forests","HornOfAfrica",53,2979.05311778291,99.8124034429486,158.458709623494,0.191598795341066
"KILI","Lake Turkana",0,"Kilimanjaro","Kilimanjaro National Park","Tanzania",37.33,-3.06,"Lake Turkana-Sudd Grasslands, Bushlands & Forests","HornOfAfrica",49,191.812933025404,99.8233995584989,284.683208172894,0.0337205595294569
"KIZI","Subequatorial Savannas & Woodlands",0,"Kizigo","Kizigo Game Reserve","Tanzania",34.52,-6.59,"Greater African Subequatorial Savannas & Mixed Woodlands","SubEquatorialAfrotropics",67,3018.86836027714,99.8128577719066,74.9110440167692,0.116647979262695
"KRU","Subequatorial Savannas & Woodlands",0,"Kruger","Kruger National Park","South Africa",31.48,-24.01,"Greater African Subequatorial Savannas & Mixed Woodlands","SubEquatorialAfrotropics",65,2547.22170900693,99.8215785054576,52.4628401292538,0
"KSA","Subequatorial Savannas & Woodlands",0,"Kasungu","Kasungu National Park","Malawi",33.13,-12.92,"Greater African Subequatorial Savannas & Mixed Woodlands","SubEquatorialAfrotropics",65,3239.33256351039,99.8043265572345,129.991216328347,0
"LAKMA","Subequatorial Savannas & Woodlands",0,"Lake Manyara","Lake Manyara National Park","Tanzania",35.79,-3.49,"Greater African Subequatorial Savannas & Mixed Woodlands","SubEquatorialAfrotropics",66,1688.65819861432,96.8954011315828,316.253595506537,1.84543511438086
